ID , ancient_name , present_name , alternative_name , aqueduct_name
1153 ,ABELLUM ,Avella ,,
484 ,ABILA DEKAPOLEOS ,Tel Abil ,SELEUKEIA, SELEUCEIA,Ἄβιλα, Σελεύχεια ,khurayba aqueduct
485 ,ABILA DEKAPOLEOS ,Tel Abil ,SELEUKEIA, SELEUCEIA,Ἄβιλα, Σελεύχεια ,Upper aqueduct, Quwayliba aqueduct
486 ,ABILA DEKAPOLEOS ,Tel Abil ,SELEUKEIA, SELEUCEIA,Ἄβιλα, Σελεύχεια ,lower aqueduct
52 ,ABRITUS ,Razgrad ,,
1123 ,ABRUTTUS ,Abrud ,,
997 ,ACCI ,Guadix ,,
361 ,ACELUM ,Asolo ,,Bot
1203 ,ACERRAE ,Acerra ,,
295 ,ACTIA NICOPOLIS ,Palaio Préveza ,Νικόπολις ,
166 ,ACUNUM ,Montelimar ,AKOUSION ,
1173 ,AD AUGUSTUM ,Aoste ,AUGUSTUM ,
1204 ,AD CAZALIS ,M’Toussa ,,
403 ,AD ROTAS ,Monteroduni ,ROTAE ,
867 ,AD VETIANUM ,Avezzano ,,
350 ,AD VICESIMUM ,Amendolara ,,
1137 ,ADRAHA ,Edrei ,dara'a, درعا ,
911 ,AECLANUM ,Mirabella Eclano ,,
72 ,AENONA ,Nin ,,
344 ,AEQUICULI ,,,
343 ,AESERNIA ,Isernia ,,
749 ,AESICA ,Greatchesters ,,
205 ,AGEDINCUM ,Sens ,Senoria, Malay-le-Grand ,aqueduc Saint-Phibert
1149 ,AGGERSEL ,Henchir Sidi Abd er Rahman el Garci ,Karci, Garci ,
1235 ,AIGEIRA ,Aigira ,Αιγείρα ,
266 ,AIGINA ,Aigina ,Αίγινα ,
337 ,AKE ,Akko ,Acco, PTOLEMAIS ,
629 ,AKMONIA ,Ahat Köy ,,
349 ,AKRAGAS ,Agrigento ,AGRIGENTUM, ACRAGAS ,
630 ,ALABANDA ,Doganyurt ,Ἀλάβανδα ,
909 ,ALAUNA ,Alleaume ,Vallonges ,
777 ,ALBA AUGUSTA HELVIORUM ,Alba ,,
348 ,ALBA FUCENS ,Albe ,,
796 ,ALBA POMPEIA ,Alba ,,
797 ,ALBINGAUNUM ,Albenga ,,
102 ,ALBINNUM ,Albens ,,
478 ,ALBINTIMILIUM ,Ventimiglia ,,
782 ,ALEBAECA REIORUM ,Riez ,,
345 ,ALETRIUM ,alatri ,,
97 ,ALEXANDRIA ,Iskandariya ,,
642 ,ALEXANDRIA TROAS ,Eski Stanbul ,ANTIGONEIA ,
339 ,ALEXANDRION ,Sartaba ,ALEXANDRIUM, ALEXANDREION, SARTABA ,
631 ,ALINDA ,Karpuzlu ,ALEXANDRIA AD LATMUM, Demircideresi ,
881 ,ALLIFAE ,Alife ,,
1200 ,ALTAHIA ,Altea ,,Els Arcs
1372 ,ALUNTIUM ,San Marco d'Alunzio ,HALUNTIUM, Ἀλόντιον ,
632 ,AMASEIA ,Amasya ,,Ferhat water canal
633 ,AMASEIA ,Amasya ,,
87 ,AMATHOUS ,Amathus ,,
88 ,AMATHOUS ,Amathus ,,
351 ,AMITERNUM ,St. Vittorino ,,western Aqueduct
927 ,AMITERNUM ,St.Vittorino ,,Aquae Arentani
1118 ,AMMAIA ,Sao Salvador de Aramenha ,,western aqueduct
1119 ,AMMAIA ,Sao Salvador de Aramenha ,,eastern aqueduct
1092 ,AMPHIPOLIS ,Amphipoli ,,
1247 ,AMPHIPOLIS ,Amphipoli ,,
1116 ,AMPHISSA ,,,
634 ,ANAZARBOS ,Anavarza Kalesi ,,west aqueduct
1271 ,ANAZARBOS ,Anavarza Kalesi ,,eastern aqueduct
352 ,ANCONA ,Ancona ,,Camerano
901 ,ANCYRA ,Ankara ,,
529 ,ANDELOS ,Muruzabal de Andion ,,Andelus
148 ,ANDESINA ,Grand ,GRANNUM ,
635 ,ANDRIAKE ,kekova ,,
1179 ,ANDROUSSA ,,,
636 ,ANEMURIUM ,Eski Anamur ,ANAMURION, ANEMURION ,
637 ,ANEMURIUM ,Eski Anamur ,ANAMURION, ANEMURION ,
353 ,ANGITIA ,Luco dei Marsi ,ANGIZIA, ANXA, ANGITIAE LUCUS ,
638 ,ANTIOCHIA AD MEANDRUM ,Aliagaçiftligi ,,
639 ,ANTIOCHIA AD ORONTEM ,Antakya ,DAPHNE, Harbiye ,Trajan aqueduct
640 ,ANTIOCHIA PISIDIAE ,Yalvaç ,,eastern aqueduct
641 ,ANTIOCHIA PISIDIAE ,Yalvaç ,,northern aqueduct
105 ,ANTIPOLIS ,Antibes ,,aqueduc de Fontevieille
106 ,ANTIPOLIS ,Antibes ,,aqueduc de la Bouillide
354 ,ANTIUM ,Anzio, Torre di Monumento ,,
355 ,ANTIUM ,Anzio ,,
597 ,APAMEA ,Qalaat el Moulle ,PELLA, APHAMEA ,
643 ,APAMEA PHRYGIAE ,Dinar ,KIBOTOS ,
644 ,APHRODISIAS ,Geyre ,,yenidere
1275 ,APHRODISIAS ,Geyre ,,
496 ,APOLLONIA ,Marsa Susa ,SOZOUSA ,
1205 ,APOLLONIA PONTICA ,Sozopol ,,
1042 ,APOLLONIA SALBAKE ,Vakıf ,APOLLONIA SALBAKOS ,
1347 ,APSAROS ,Adjara ,გონიოს ციხე, APSARUNTOS, GONIO ,
783 ,APTA IULIA ,APT ,,
1095 ,APULUM ,Alba Julia ,COLONIA NOVA APULES ,
787 ,AQUAE ,Aix les bains ,,
1085 ,AQUAE ,Prahovo ,,
1121 ,AQUAE BALISSAE ,Daruvar ,,
218 ,AQUAE CALIDAE ,Vichy ,AQUIS CALIDIS ,
219 ,AQUAE CALIDAE ,Vichy ,AQUIS CALIDIS ,
986 ,AQUAE FLAVIAE ,Chaves (Portugal) ,,
